key,title,User1,Decision,User2,Decision,User3,Decision,User4,Decision,User5,Decision,labels,notes
rayyan-398578831,From Boomers to Zoomers: Cyber Security Behaviours in an AI Era,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578832,Big Data Assisted Object Detection with Privacy Protection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578833,Cyberspace Vigilante or Security Sleuth: Understanding Who Threat Hunters Are,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578834,How We Succeeded in Teaching (Advanced) ICT in Mozambique,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578835,MARREG – MARriage REGistration [for a better cause],Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578836,Streamed Incremental Learning for Cyber Attack Classification using Machine Learning,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578837,Intrinsic Motivation and ISP Compliance: A Factor Analytic Study in Remote Work Using Self-Determination Theory,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578838,Developing and Assessing a Web-Based Interactive Visualization Tool to Teach Buffer Overflow Concepts,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578839,Harnessing AI and NLP for Enhanced Cybersecurity: A Strategic Approach to Mitigating Cybercrime,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578840,The Role of Artificial Intelligence and Cyber Security for Social Media,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578841,"A Comparative Study of Cyber Security Awareness, Competence and Behavior",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578842,Projecting the Needs of Intelligent Transportation System (ITS) Based on Comfort and Security Views of Trans Jateng's Women Ridership,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578843,Identifying Sexual Predators in Chats Using SVM and Feature Ensemble,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578844,Measuring Online Hate on 4chan Using Pre-Trained Deep Learning Models,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578845,Detection of Cyber Attack in Electric Vehicles using ALSTM based Machine Learning,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578846,Design and Development of IoT based Smart Women Security Gadget,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578847,A Smart Security System Using IOT,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578848,RAPP: Reversible Privacy Preservation for Various Face Attributes,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578849,Shallow Convolution Neural Network for Real-Time Change Detection in Agricultural Lands,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578850,Enhancing Women's Security with Real-Time Monitoring,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578851,"Malicious URL Detection using NLP, Machine Learning and FLASK",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578852,Breast Cancer Detection and Prediction using Federated Multicriteria Machine Learning,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578853,Progressing Speech Disorder Identification: A Thorough Investigation into Dysarthria Categorization Utilizing ResNet50 CNN,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578854,Proactive Role of Clinical Engineering in the Adoption of ISO/IEC 80001-1 within Healthcare Delivery Organization,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578855,Securing Fintech: A Machine Learning Approach for Credit Card Fraud Detection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578856,GitHubInclusifier: Finding and Fixing Non-Inclusive Language in GitHub Repositories,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578857,“Blinks in the Dark”: Blink Estimation With Domain Adversarial Training (BEAT) Network,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
